experiment,corpus,level,variant,dict_size,ratio,train_wall_s,note
E1_FIX,gharchive,3,default_sweep_cand_1048576,1048576,8.194684,0.548,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=605.1s; accumulated=5.2s; evaluated on train-internal val split (seed=1729)"
E1_FIX,gharchive,3,default_sweep_cand_1310720,681095,6.574165,0.535,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=605.1s; accumulated=5.7s; evaluated on train-internal val split (seed=1729)"
E1_FIX,gharchive,3,default_sweep_cand_1572864,772538,6.521464,0.521,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=605.1s; accumulated=6.2s; evaluated on train-internal val split (seed=1729)"
E1_FIX,gharchive,3,default_sweep_cand_1835008,656639,6.481454,0.534,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=605.1s; accumulated=6.8s; evaluated on train-internal val split (seed=1729)"
E1_FIX,gharchive,3,default_sweep_cand_2097152,583401,6.512606,0.535,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=605.1s; accumulated=7.3s; evaluated on train-internal val split (seed=1729)"
E1_FIX,gharchive,3,default_sweep_winner,786432,8.363243,0.543,"winner=default_786432b (by val_ratio=8.209055); trainer=default(fastCOVER, --train); equal-compute budget=605.1s (=MAIN full train_wall_s); heldout ratio (no refit-on-full)"
E1_FIX,gharchive,19,default_sweep_cand_16384,16384,7.468415,0.542,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=3352.3s; accumulated=0.5s; evaluated on train-internal val split (seed=1729)"
E1_FIX,gharchive,19,default_sweep_cand_65536,65536,8.315305,0.534,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=3352.3s; accumulated=1.1s; evaluated on train-internal val split (seed=1729)"
E1_FIX,gharchive,19,default_sweep_cand_112640,112640,8.718392,0.537,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=3352.3s; accumulated=1.6s; evaluated on train-internal val split (seed=1729)"
E1_FIX,gharchive,19,default_sweep_cand_262144,262144,9.205845,0.537,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=3352.3s; accumulated=2.2s; evaluated on train-internal val split (seed=1729)"
E1_FIX,gharchive,19,default_sweep_cand_524288,524288,9.716635,0.535,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=3352.3s; accumulated=2.7s; evaluated on train-internal val split (seed=1729)"
E1_FIX,gharchive,19,default_sweep_cand_786432,786432,10.018450,0.539,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=3352.3s; accumulated=3.2s; evaluated on train-internal val split (seed=1729)"
E1_FIX,gharchive,19,default_sweep_cand_1048576,1048576,10.199470,0.535,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=3352.3s; accumulated=3.8s; evaluated on train-internal val split (seed=1729)"
E1_FIX,gharchive,19,default_sweep_cand_1310720,681095,8.310507,0.527,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=3352.3s; accumulated=4.3s; evaluated on train-internal val split (seed=1729)"
E1_FIX,gharchive,19,default_sweep_cand_1572864,772538,8.324737,0.544,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=3352.3s; accumulated=4.8s; evaluated on train-internal val split (seed=1729)"
E1_FIX,gharchive,19,default_sweep_cand_1835008,656639,8.246900,0.525,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=3352.3s; accumulated=5.4s; evaluated on train-internal val split (seed=1729)"
